tên hồ,Qve,Tqx,Qxt,Qxm
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,5.7,54.5,0.0,54.5
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,7.48,13.2,0.0,13.2
Sông Bung 4,34.56,78.0,0.0,78.0
Vĩnh Sơn B,0.27,0.0,0.0,0.0
Vĩnh Sơn C,0.72,0.0,0.0,0.0
Sông Tranh 2,54.79,196.85,5.7,191.15
Sông Ba Hạ,55.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,13.8,38.2,0.0,38.2
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,9.28,13.2,0.0,13.2
Sông Bung 4,33.56,77.0,0.0,77.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,37.16,207.7,5.7,202.0
Sông Ba Hạ,52.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,28.1,28.1,0.0,28.1
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,2.12,13.2,0.0,13.2
Sông Bung 4,34.56,78.0,0.0,78.0
Vĩnh Sơn B,5.7,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,37.3,207.7,5.7,202.0
Sông Ba Hạ,48.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,36.0,36.0,0.0,36.0
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,2.5,10.0,0.0,10.0
Sông Bung 4,34.56,78.0,0.0,78.0
Vĩnh Sơn B,5.7,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,65.62,207.7,5.7,202.0
Sông Ba Hạ,75.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,27.2,76.0,0.0,76.0
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,4.2,13.2,0.0,13.2
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,7.2,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,37.14,207.7,5.7,202.0
Sông Ba Hạ,66.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,27.2,76.0,0.0,76.0
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,0.62,13.2,0.0,13.2
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,37.12,207.7,5.7,202.0
Sông Ba Hạ,65.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,27.2,76.0,0.0,76.0
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,0.62,13.2,0.0,13.2
Sông Bung 4,25.67,156.0,0.0,156.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,39.18,209.7,5.7,204.0
Sông Ba Hạ,68.0,0.0,0.0,0.0
Sông Hinh,161.5846898895497,54.83,0.0,54.83
A Vương,29.3,53.7,0.0,53.7
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,9.042699335548173,12.5,0.0,12.5
Sông Bung 4,37.78,78.0,0.0,78.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,30.67,201.2,5.7,195.5
Sông Ba Hạ,22.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,38.8,38.8,0.0,38.8
Sông Bung 2,6.58,29.0,0.0,29.0
Vĩnh Sơn A,7.78,13.2,0.0,13.2
Sông Bung 4,78.4,78.4,0.0,78.4
Vĩnh Sơn B,7.2,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,79.39,107.7,5.7,102.0
Sông Ba Hạ,95.0,176.0,0.0,176.0
Sông Hinh,161.5846898895497,54.83,0.0,54.83
A Vương,39.1,63.5,0.0,63.5
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,9.042699335548173,11.0,0.0,11.0
Sông Bung 4,61.18,101.4,0.0,101.4
Vĩnh Sơn B,7.2,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,50.92,107.7,5.7,102.0
Sông Ba Hạ,90.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,26.4,50.8,0.0,50.8
Sông Bung 2,7.97,30.39,0.0,30.39
Vĩnh Sơn A,7.78,13.2,0.0,13.2
Sông Bung 4,50.0,50.0,0.0,50.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,25.0,167.2,5.7,161.5
Sông Ba Hạ,25.0,0.0,0.0,0.0
Sông Hinh,3906.78,54.83,0.0,54.83
A Vương,19.9,68.7,0.0,68.7
Sông Bung 2,9.54,31.96,0.0,31.96
Vĩnh Sơn A,0.62,13.2,0.0,13.2
Sông Bung 4,50.0,50.0,0.0,50.0
Vĩnh Sơn B,7.2,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,26.41,140.0,5.7,134.3
Sông Ba Hạ,22.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,27.5,76.3,0.0,76.3
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,4.2,13.2,0.0,13.2
Sông Bung 4,19.33,140.0,0.0,140.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,33.83,204.23,5.7,198.53
Sông Ba Hạ,18.0,0.0,0.0,0.0
Sông Hinh,161.5846898895497,54.83,0.0,54.83
A Vương,27.5,76.3,0.0,76.3
Sông Bung 2,8.62,31.04,0.0,31.04
Vĩnh Sơn A,7.95,13.2,0.0,13.2
Sông Bung 4,40.22,0.0,0.0,0.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,46.91,103.7,5.7,98.0
Sông Ba Hạ,63.0,0.0,0.0,0.0
Sông Hinh,161.5846898895497,54.83,0.0,54.83
A Vương,6.5,55.3,0.0,55.3
Sông Bung 2,21.09,28.56,0.0,28.56
Vĩnh Sơn A,0.45,13.2,0.0,13.2
Sông Bung 4,43.44,0.0,0.0,0.0
Vĩnh Sơn B,7.2,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,18.43,103.7,5.7,98.0
Sông Ba Hạ,27.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,12.6,12.6,0.0,12.6
Sông Bung 2,8.42,0.95,0.0,0.95
Vĩnh Sơn A,0.45,13.2,0.0,13.2
Sông Bung 4,43.44,0.0,0.0,0.0
Vĩnh Sơn B,7.2,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
