tên hồ,Qve,Tqx,Qxt,Qxm
Bản Chát,33.8,254.1,0,254.1
Huội Quảng,256.6,285.2,0,285.2
Sơn La,392.0,800.0,0,800.0
Hòa Bình,1032.0,1607.0,0,1607.0
Thác Bà,117.17051509769094,283.38,0,283.38
Bản Chát,31.1,256.3,0,256.3
Huội Quảng,267.8,352.5,0,352.5
Sơn La,530.0,697.0,0,697.0
Hòa Bình,1679.0,1489.0,0,1489.0
Thác Bà,117.17051509769094,284.53,0,284.53
Bản Chát,18.3,258.7,0,258.7
Huội Quảng,266.9,115.2,0,115.2
Sơn La,314.0,772.0,0,772.0
Hòa Bình,1381.0,2041.0,0,2041.0
Thác Bà,117.17051509769094,285.67,0,285.67
Bản Chát,15.9,261.2,0,261.2
Huội Quảng,270.7,310.5,0,310.5
Sơn La,516.0,1072.0,0,1072.0
Hòa Bình,1372.0,2109.0,0,2109.0
Thác Bà,117.17051509769094,286.58,0,286.58
Bản Chát,33.5,260.8,0,260.8
Huội Quảng,244.7,352.0,0,352.0
Sơn La,939.0,383.0,0,383.0
Hòa Bình,154.0,1565.0,0,1565.0
Thác Bà,117.17051509769094,287.72,0,287.72
Bản Chát,266.3,260.2,0,260.2
Huội Quảng,291.5,331.2,0,331.2
Sơn La,665.0,526.0,0,526.0
Hòa Bình,1268.0,1669.0,0,1669.0
Thác Bà,117.17051509769094,287.84,0,287.84
Bản Chát,81.0,261.6,0,261.6
Huội Quảng,299.0,351.1,0,351.1
Sơn La,1430.0,680.0,0,680.0
Hòa Bình,1920.0,2069.0,0,2069.0
Thác Bà,117.17051509769094,288.41,0,288.41
Bản Chát,98.4,260.3,0,260.3
Huội Quảng,287.9,350.0,0,350.0
Sơn La,1228.0,422.0,0,422.0
Hòa Bình,1966.0,1529.0,0,1529.0
Thác Bà,117.17051509769094,288.98,0,288.98
Bản Chát,126.1,262.1,0,262.1
Huội Quảng,267.6,347.9,0,347.9
Sơn La,1322.0,1600.0,0,1600.0
Hòa Bình,1458.0,2021.0,0,2021.0
Thác Bà,117.17051509769094,289.32,0,289.32
Bản Chát,40.7,263.5,0,263.5
Huội Quảng,284.8,347.8,0,347.8
Sơn La,556.0,0.0,0,0.0
Hòa Bình,854.0,1418.0,0,1418.0
Thác Bà,117.17051509769094,136.59,0,136.59
Bản Chát,52.8,265.9,0,265.9
Huội Quảng,272.9,347.2,0,347.2
Sơn La,474.0,863.0,0,863.0
Hòa Bình,40.0,940.0,0,940.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,57.7,261.9,0,261.9
Huội Quảng,272.5,246.8,0,246.8
Sơn La,1685.0,963.0,0,963.0
Hòa Bình,440.0,2400.0,0,2400.0
Thác Bà,117.17051509769094,281.42,0,281.42
Bản Chát,69.2,263.9,0,263.9
Huội Quảng,271.6,345.9,0,345.9
Sơn La,1921.0,1477.0,0,1477.0
Hòa Bình,1827.0,2385.0,0,2385.0
Thác Bà,117.17051509769094,437.74,0,437.74
Bản Chát,32.5,266.5,0,266.5
